"No","Time :0.000000 to 95.110000 (s)","Ch1 Region15  (Intensity Average)","Ch1 Region16  (Intensity Average)","Ch1 Region17  (Intensity Average)","Ch1 Region18  (Intensity Average)","Ch1 Region19  (Intensity Average)","Ch1 Region20  (Intensity Average)","Ch1 Region21  (Intensity Average)","Ch1 Region22  (Intensity Average)","Ch1 Region23  (Intensity Average)","Ch1 Region24  (Intensity Average)","Ch1 Region25  (Intensity Average)","Ch1 Region26  (Intensity Average)","Ch1 Region27  (Intensity Average)","Ch1 Region28  (Intensity Average)","Ch1 Region29  (Intensity Average)","Ch1 Region30  (Intensity Average)","Ch2 Region30  (Intensity Average)"
0,0,1224.931034,410.482759,570.551724,593.62069,139.275862,131.310345,123.965517,495.413793,479.965517,106.689655,424.275862,113.62069,30.137931,33.862069,41.896552,509.068966,1354.827586
1,5.032,259.344828,359.655172,360.206897,345.241379,117.758621,132.034483,110.172414,590.724138,480.137931,91.068966,416,130.655172,47.655172,43.827586,34.586207,463.344828,1352.896552
2,10.032,294.689655,268.62069,375.103448,366.517241,126.655172,121.758621,128.448276,529.965517,456.344828,73.206897,440.137931,109,35.827586,47.896552,38.034483,486.931034,1329.482759
3,15.032,283.172414,287.448276,327.793103,383.310345,132.103448,123.206897,125.137931,531.275862,409.517241,89.275862,467,125.206897,33.758621,36.482759,37.517241,540.482759,1356.931034
4,20.047,224.551724,237,299.37931,245.103448,107.689655,108.793103,100.275862,478.206897,453.862069,104.655172,452.034483,131.310345,40.034483,40.896552,45.172414,493.37931,1341.62069
5,25.047,227.724138,294.103448,376.344828,302,112.206897,115.034483,97.172414,500,417.068966,96.068966,406.103448,126.206897,41.275862,36.413793,50.862069,507.103448,1359.034483
6,30.047,221.344828,270.793103,324.275862,261.827586,114.862069,114.241379,97.103448,520.517241,406.62069,81.862069,414.931034,116.172414,34.758621,45.172414,37.310345,482.862069,1332.103448
7,35.047,214.137931,284.241379,308.241379,265.103448,99.62069,138.586207,114.413793,532.931034,435.965517,100.931034,483.689655,111.655172,39.551724,40.448276,39.965517,451.413793,1368.172414
8,40.063,212.689655,299.586207,349.931034,331.344828,113.724138,106.37931,103.482759,470.862069,460.275862,96.827586,441.931034,117.62069,41.482759,49.068966,39.827586,446.931034,1317.793103
9,45.063,210.793103,293.793103,307,269.448276,99.827586,109.206897,122.689655,396.068966,436.137931,98.241379,419.689655,158.827586,36.655172,49.689655,46.241379,402.413793,1290.137931
10,50.063,206,231.068966,326.689655,240.275862,87.206897,109.931034,141.137931,448.310345,374.862069,76.793103,402.793103,141.206897,38,40.137931,44.068966,404.62069,1307.931034
11,55.063,221.724138,243,254.448276,245.275862,89.931034,92.758621,177.724138,410.310345,380.862069,79.413793,357.517241,104.103448,42.103448,43.172414,45.206897,382.482759,1303.137931
12,60.079,222.103448,223.793103,245.482759,266.827586,89.793103,107.241379,155.793103,476.37931,344.896552,90.62069,321.862069,153.655172,37.827586,39.344828,38.275862,366,1284.482759
13,65.079,178.241379,216.413793,217.896552,276.344828,94.482759,116.344828,140.724138,449.413793,352.137931,106.965517,355.62069,120.896552,41.068966,39.62069,50.793103,324,1282.758621
14,70.079,183.689655,213.344828,274.413793,268.344828,102.517241,93.172414,120.206897,440.655172,311.448276,113.448276,352.62069,100.137931,45.103448,51.586207,45.793103,358.310345,1294.758621
15,75.079,171.62069,256.724138,242.344828,272.689655,94.827586,129.310345,125.862069,399.793103,365.034483,80.62069,333.034483,107.137931,37.310345,42.62069,50.758621,375.62069,1231.137931
16,80.094,177,220.241379,264,232.689655,71.137931,98.965517,88.896552,366.241379,299.827586,70.241379,388.206897,123.241379,44.482759,44.034483,47.827586,389.517241,1279.965517
17,85.094,165.37931,190.068966,216.241379,236.517241,88.517241,104.724138,130.724138,410.344828,357.758621,74.586207,291.37931,114.482759,39.793103,41.896552,47.344828,365.793103,1251.482759
18,90.094,154.241379,222.275862,210.689655,199.413793,95.827586,96.655172,138.448276,317.724138,318.034483,99.931034,306.448276,107.965517,44.586207,44.241379,43.758621,358.310345,1237.137931
19,95.11,158.862069,185.068966,218.206897,223,82.344828,103.793103,131.517241,406.448276,276.758621,91.482759,278.206897,132.724138,50.344828,42.931034,49.275862,328.896552,1296
